=== ROBUST DEPENDENCY ANALYZER WITH DEEP FREQUENCY METRICS ===
Scanning folder: SANJOYNATH_QRS_WRS_RANKING_PQSQEDQRS_WRS_145603_classfiles_PQSQED\

Found project: SANJOYNATH_QRS_WRS_RANKING_PQSQEDQRS_WRS_145603_classfiles_PQSQED\PQSQED.csproj
Source files gathered: 145602
All classes discovered: 145590
Parsed: 1Dodecanol.cs -> PQSQED.1Dodecanol (direct deps: 7, substrings: 36)
Parsed: 1E+12.cs -> PQSQED.1E (direct deps: 6, substrings: 0)
Parsed: 1Hitter.cs -> PQSQED.1Hitter (direct deps: 9, substrings: 15)
Parsed: 1st.cs -> PQSQED.1st (direct deps: 5, substrings: 1)
Parsed: 1stClass.cs -> PQSQED.1stClass (direct deps: 4, substrings: 12)
Parsed: 1stClassMail.cs -> PQSQED.1stClassMail (direct deps: 4, substrings: 20)
Parsed: 1stLieutenant.cs -> PQSQED.1stLieutenant (direct deps: 14, substrings: 47)
Parsed: 1st_Baron_Beaverbrook.cs -> PQSQED.1st_Baron_Beaverbrook (direct deps: 7, substrings: 68)
Parsed: 1st_Baron_Verulam.cs -> PQSQED.1st_Baron_Verulam (direct deps: 6, substrings: 35)
Parsed: 1st_EarlOf_Balfour.cs -> PQSQED.1st_EarlOf_Balfour (direct deps: 4, substrings: 35)
Parsed: 1st_Earl_Attlee.cs -> PQSQED.1st_Earl_Attlee (direct deps: 10, substrings: 25)
Parsed: 1st_Earl_BaldwinOf_Bewdley.cs -> PQSQED.1st_Earl_BaldwinOf_Bewdley (direct deps: 4, substrings: 60)
Parsed: 1st_Viscount_MontgomeryOf_Alamein.cs -> PQSQED.1st_Viscount_MontgomeryOf_Alamein (direct deps: 15, substrings: 104)
Parsed: 1_Chronicles.cs -> PQSQED.1_Chronicles (direct deps: 13, substrings: 45)
Parsed: 1_Esdras.cs -> PQSQED.1_Esdras (direct deps: 9, substrings: 15)
Parsed: 1_Kings.cs -> PQSQED.1_Kings (direct deps: 7, substrings: 10)
Parsed: 1_Maccabees.cs -> PQSQED.1_Maccabees (direct deps: 5, substrings: 36)
Parsed: 1_Samuel.cs -> PQSQED.1_Samuel (direct deps: 8, substrings: 15)
Parsed: 2.cs -> PQSQED.2 (direct deps: 7, substrings: 0)
Parsed: 20 or 20.cs -> PQSQED.20 (direct deps: 10, substrings: 1)
Parsed: 20.cs -> PQSQED.20 (direct deps: 15, substrings: 1)
Parsed: 200.cs -> PQSQED.200 (direct deps: 6, substrings: 3)
Parsed: 200th.cs -> PQSQED.200th (direct deps: 7, substrings: 5)
Parsed: 20th.cs -> PQSQED.20th (direct deps: 6, substrings: 3)
Parsed: 21.cs -> PQSQED.21 (direct deps: 5, substrings: 1)
Parsed: 21st.cs -> PQSQED.21st (direct deps: 6, substrings: 3)
Parsed: 22.cs -> PQSQED.22 (direct deps: 4, substrings: 1)
Parsed: 22KaratGold.cs -> PQSQED.22KaratGold (direct deps: 4, substrings: 20)
Parsed: 22nd.cs -> PQSQED.22nd (direct deps: 5, substrings: 3)
Parsed: 23.cs -> PQSQED.23 (direct deps: 4, substrings: 1)
Parsed: 23rd.cs -> PQSQED.23rd (direct deps: 5, substrings: 3)
Parsed: 24 or 7.cs -> PQSQED.24 (direct deps: 6, substrings: 1)
Parsed: 24.cs -> PQSQED.24 (direct deps: 10, substrings: 1)
Parsed: 24HourInterval.cs -> PQSQED.24HourInterval (direct deps: 8, substrings: 38)
Parsed: 24KaratGold.cs -> PQSQED.24KaratGold (direct deps: 2, substrings: 20)
