=== ROBUST DEPENDENCY ANALYZER WITH DEEP FREQUENCY METRICS ===
Scanning folder: ABSRBS\QRS_WRS_145603_classfiles_SANJOYNATH_QRS_WRS_RANKING_PQSQED\

Found project: ABSRBS\QRS_WRS_145603_classfiles_SANJOYNATH_QRS_WRS_RANKING_PQSQED\SANJOYNATH_QRS_WRS_RANKING_PQSQED.csproj
Source files gathered: 145602
All classes discovered: 145590
Parsed: 1900s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1900s (direct deps: 1, substrings: 6)
Parsed: 190th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.190th (direct deps: 7, substrings: 5)
Parsed: 1920s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1920s (direct deps: 1, substrings: 6)
Parsed: 1930s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1930s (direct deps: 1, substrings: 6)
Parsed: 1940s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1940s (direct deps: 1, substrings: 6)
Parsed: 1950s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1950s (direct deps: 1, substrings: 6)
Parsed: 1960s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1960s (direct deps: 1, substrings: 6)
Parsed: 1970s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1970s (direct deps: 1, substrings: 6)
Parsed: 1980s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1980s (direct deps: 1, substrings: 6)
Parsed: 1990s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1990s (direct deps: 1, substrings: 6)
Parsed: 19th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.19th (direct deps: 6, substrings: 3)
Parsed: 1Dodecanol.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1Dodecanol (direct deps: 7, substrings: 36)
Parsed: 1E+12.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1E (direct deps: 6, substrings: 0)
Parsed: 1Hitter.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1Hitter (direct deps: 9, substrings: 15)
Parsed: 1st.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1st (direct deps: 5, substrings: 1)
Parsed: 1stClass.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1stClass (direct deps: 4, substrings: 12)
Parsed: 1stClassMail.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1stClassMail (direct deps: 4, substrings: 20)
Parsed: 1stLieutenant.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1stLieutenant (direct deps: 14, substrings: 47)
Parsed: 1st_Baron_Beaverbrook.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1st_Baron_Beaverbrook (direct deps: 7, substrings: 68)
Parsed: 1st_Baron_Verulam.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1st_Baron_Verulam (direct deps: 6, substrings: 35)
Parsed: 1st_EarlOf_Balfour.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1st_EarlOf_Balfour (direct deps: 4, substrings: 35)
Parsed: 1st_Earl_Attlee.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1st_Earl_Attlee (direct deps: 10, substrings: 25)
Parsed: 1st_Earl_BaldwinOf_Bewdley.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1st_Earl_BaldwinOf_Bewdley (direct deps: 4, substrings: 60)
