Class,Depth,Rank,DirectCount,DirectDependencies
PQSQED.Family_Branchiostomidae,0,1,0,
PQSQED.Family_Buccinidae,0,1,0,
PQSQED.Family_Bucconidae,0,1,0,
PQSQED.Family_Bucerotidae,0,1,0,
PQSQED.Family_Callionymidae,0,1,0,
PQSQED.Family_Calliphoridae,0,1,0,
PQSQED.Family_Callithricidae,0,1,0,
PQSQED.Family_Camelidae,0,1,0,
PQSQED.Family_Canidae,0,1,0,
PQSQED.Family_Capitonidae,0,1,0,
PQSQED.Family_Caprimulgidae,0,1,0,
PQSQED.Family_Caproidae,0,1,0,
PQSQED.Family_Capromyidae,0,1,0,
PQSQED.Family_Castoridae,0,1,0,
PQSQED.Family_Centriscidae,0,1,0,
PQSQED.Family_Cerambycidae,0,1,0,
PQSQED.Family_Certhiidae,0,1,0,
PQSQED.Family_Chelydridae,0,1,0,
PQSQED.Family_Chironomidae,0,1,0,
PQSQED.Family_Cicadellidae,0,1,0,
PQSQED.Family_Cicadidae,0,1,0,
PQSQED.Family_Cichlidae,0,1,0,
PQSQED.Family_Ciconiidae,0,1,0,
PQSQED.Family_Clupeidae,0,1,0,
PQSQED.Family_Cobitidae,0,1,0,
PQSQED.Family_Coccinellidae,0,1,0,
PQSQED.Family_Coerebidae,0,1,0,
PQSQED.Family_Columbidae,0,1,0,
PQSQED.Family_Coraciidae,0,1,0,
PQSQED.Family_Corydalidae,0,1,0,
PQSQED.Family_Cottidae,0,1,0,
PQSQED.Family_Cracidae,0,1,0,
PQSQED.Family_Crangonidae,0,1,0,
PQSQED.Family_Culicidae,0,1,0,
PQSQED.Family_Cyclopteridae,0,1,0,
PQSQED.Family_Cymatiidae,0,1,0,
PQSQED.Family_Cynoglossidae,0,1,0,
PQSQED.Family_Dacninae,0,1,0,
PQSQED.Family_Dasypodidae,0,1,0,
PQSQED.Family_Dasyproctidae,0,1,0,
PQSQED.Family_Delphinidae,0,1,0,
PQSQED.Family_Didelphidae,0,1,0,
PQSQED.Family_Dinornithidae,0,1,0,
PQSQED.Family_Diomedeidae,0,1,0,
PQSQED.Family_Dioscoreaceae,0,1,0,
PQSQED.Family_Eleotridae,0,1,0,
PQSQED.Family_Elephantidae,0,1,0,
PQSQED.Family_Elopidae,0,1,0,
PQSQED.Family_Engraulidae,0,1,0,
PQSQED.Family_Ephemeridae,0,1,0,
PQSQED.Family_Ericaceae,0,1,0,
PQSQED.Family_Esocidae,0,1,0,
PQSQED.Family_Fistulariidae,0,1,0,
PQSQED.Family_Formicariidae,0,1,0,
PQSQED.Family_Formicidae,0,1,0,
PQSQED.Family_Fringillidae,0,1,0,
PQSQED.Family_Furnariidae,0,1,0,
PQSQED.Family_Galbulidae,0,1,0,
PQSQED.Family_Gasterosteidae,0,1,0,
PQSQED.Family_Gavialidae,0,1,0,
PQSQED.Family_Gekkonidae,0,1,0,
PQSQED.Family_Gerreidae,0,1,0,
PQSQED.Family_Gerridae,0,1,0,
PQSQED.Family_Giraffidae,0,1,0,
PQSQED.Family_Gobiesocidae,0,1,0,
PQSQED.Family_Gobiidae,0,1,0,
PQSQED.Family_Gruidae,0,1,0,
PQSQED.Family_Gryllidae,0,1,0,
PQSQED.Family_Haematopodidae,0,1,0,
PQSQED.Family_Haemulidae,0,1,0,
PQSQED.Family_Haliotidae,0,1,0,
PQSQED.Family_Hexagrammidae,0,1,0,
PQSQED.Family_Hippopotamidae,0,1,0,
PQSQED.Family_Hirundinidae,0,1,0,
PQSQED.Family_Holocentridae,0,1,0,
PQSQED.Family_Homaridae,0,1,0,
PQSQED.Family_Hyaenidae,0,1,0,
PQSQED.Family_Ibidiidae,0,1,0,
PQSQED.Family_Iguanodontidae,0,1,0,
PQSQED.Family_Istiophoridae,0,1,0,
PQSQED.Family_Labridae,0,1,0,
PQSQED.Family_Lampridae,0,1,0,
PQSQED.Family_Lampyridae,0,1,0,
PQSQED.Family_Laniidae,0,1,0,
PQSQED.Family_Lanthanotidae,0,1,0,
PQSQED.Family_Lepismatidae,0,1,0,
PQSQED.Family_Leporidae,0,1,0,
PQSQED.Family_Limacidae,0,1,0,
PQSQED.Family_Liparidae,0,1,0,
PQSQED.Family_Liparididae,0,1,0,
PQSQED.Family_Littorinidae,0,1,0,
PQSQED.Family_Lobotidae,0,1,0,
PQSQED.Family_Lutjanidae,0,1,0,
PQSQED.Family_Luvaridae,0,1,0,
PQSQED.Family_Macropodidae,0,1,0,
PQSQED.Family_Macrouridae,0,1,0,
PQSQED.Family_Macruridae,0,1,0,
PQSQED.Family_Manteidae,0,1,0,
PQSQED.Family_Mantidae,0,1,0,
PQSQED.Family_Mantispidae,0,1,0,
PQSQED.Family_Megalosauridae,0,1,0,
PQSQED.Family_Megapodiidae,0,1,0,
PQSQED.Family_Menuridae,0,1,0,
PQSQED.Family_Meropidae,0,1,0,
PQSQED.Family_Monocanthidae,0,1,0,
PQSQED.Family_Monodontidae,0,1,0,
PQSQED.Family_Motacillidae,0,1,0,
PQSQED.Family_Musophagidae,0,1,0,
PQSQED.Family_Mustelidae,0,1,0,
PQSQED.Family_Myrmeleontidae,0,1,0,
PQSQED.Family_Naticidae,0,1,0,
PQSQED.Family_Nautilidae,0,1,0,
PQSQED.Family_Neritidae,0,1,0,
PQSQED.Family_Noctuidae,0,1,0,
PQSQED.Family_Opisthocomidae,0,1,0,
PQSQED.Family_Opisthognathidae,0,1,0,
PQSQED.Family_Orycteropodidae,0,1,0,
PQSQED.Family_Osmeridae,0,1,0,
PQSQED.Family_Ostraciidae,0,1,0,
PQSQED.Family_Ostraciontidae,0,1,0,
PQSQED.Family_Ostreidae,0,1,0,
PQSQED.Family_Otididae,0,1,0,
PQSQED.Family_Oxyuridae,0,1,0,
PQSQED.Family_Palaemonidae,0,1,0,
PQSQED.Family_Pandionidae,0,1,0,
PQSQED.Family_Paridae,0,1,0,
PQSQED.Family_Pectinidae,0,1,0,
PQSQED.Family_Pelecanidae,0,1,0,
PQSQED.Family_Pempheridae,0,1,0,
PQSQED.Family_Peramelidae,0,1,0,
PQSQED.Family_Petromyzontidae,0,1,0,
PQSQED.Family_Phaethontidae,0,1,0,
PQSQED.Family_Phalacrocoracidae,0,1,0,
PQSQED.Family_Phalangeridae,0,1,0,
PQSQED.Family_Phalaropidae,0,1,0,
PQSQED.Family_Phasianidae,0,1,0,
PQSQED.Family_Phoenicopteridae,0,1,0,
PQSQED.Family_Picidae,0,1,0,
PQSQED.Family_Pipridae,0,1,0,
PQSQED.Family_Pittidae,0,1,0,
PQSQED.Family_Plataleidae,0,1,0,
PQSQED.Family_Pleuronectidae,0,1,0,
PQSQED.Family_Ploceidae,0,1,0,
PQSQED.Family_Podargidae,0,1,0,
PQSQED.Family_Poeciliidae,0,1,0,
PQSQED.Family_Polynemidae,0,1,0,
PQSQED.Family_Polyodontidae,0,1,0,
PQSQED.Family_Pomacentridae,0,1,0,
PQSQED.Family_Procellariidae,0,1,0,
PQSQED.Family_Psophiidae,0,1,0,
PQSQED.Family_Pteroclididae,0,1,0,
PQSQED.Family_Ptilonorhynchidae,0,1,0,
PQSQED.Family_Pyrrhocoridae,0,1,0,
PQSQED.Family_Rallidae,0,1,0,
PQSQED.Family_Ramphastidae,0,1,0,
PQSQED.Family_Recurvirostridae,0,1,0,
PQSQED.Family_Regalecidae,0,1,0,
PQSQED.Family_Rhinocerotidae,0,1,0,
PQSQED.Family_Salamandridae,0,1,0,
PQSQED.Family_Scaridae,0,1,0,
PQSQED.Family_Scincidae,0,1,0,
PQSQED.Family_Scorpaenidae,0,1,0,
PQSQED.Family_Sirenidae,0,1,0,
PQSQED.Family_Sittidae,0,1,0,
PQSQED.Family_Soleidae,0,1,0,
PQSQED.Family_Soricidae,0,1,0,
PQSQED.Family_Sparidae,0,1,0,
PQSQED.Family_Sphingidae,0,1,0,
PQSQED.Family_Squatinidae,0,1,0,
PQSQED.Family_Steatornithidae,0,1,0,
PQSQED.Family_Stenopelmatidae,0,1,0,
PQSQED.Family_Stercorariidae,0,1,0,
PQSQED.Family_Stichaeidae,0,1,0,
PQSQED.Family_Suidae,0,1,0,
PQSQED.Family_Sulidae,0,1,0,
PQSQED.Family_Syngnathidae,0,1,0,
PQSQED.Family_Synodontidae,0,1,0,
PQSQED.Family_Tabanidae,0,1,0,
PQSQED.Family_Tachyglossidae,0,1,0,
PQSQED.Family_Talpidae,0,1,0,
PQSQED.Family_Tayassuidae,0,1,0,
PQSQED.Family_Teiidae,0,1,0,
PQSQED.Family_Tenthredinidae,0,1,0,
PQSQED.Family_Teredinidae,0,1,0,
PQSQED.Family_Termitidae,0,1,0,
PQSQED.Family_Tetranychidae,0,1,0,
PQSQED.Family_Tetraodontidae,0,1,0,
PQSQED.Family_Tettigoniidae,0,1,0,
PQSQED.Family_Thelypteridaceae,0,1,0,
PQSQED.Family_Thraupidae,0,1,0,
PQSQED.Family_Threskiornithidae,0,1,0,
PQSQED.Family_Timaliidae,0,1,0,
PQSQED.Family_Tinamidae,0,1,0,
PQSQED.Family_Toxotidae,0,1,0,
PQSQED.Family_Trachipteridae,0,1,0,
PQSQED.Family_Tragulidae,0,1,0,
PQSQED.Family_Trichiuridae,0,1,0,
PQSQED.Family_Trionychidae,0,1,0,
PQSQED.Family_Trochilidae,0,1,0,
PQSQED.Family_Troglodytidae,0,1,0,
PQSQED.Family_Trombiculidae,0,1,0,
PQSQED.Family_Trombidiidae,0,1,0,
PQSQED.Family_Upupidae,0,1,0,
PQSQED.Family_Uranoscopidae,0,1,0,
PQSQED.Family_Viverridae,0,1,0,
PQSQED.Family_Viverrinae,0,1,0,
PQSQED.Family_Vombatidae,0,1,0,
PQSQED.Family_Zoarcidae,0,1,0,
PQSQED.Fanged,0,1,0,
PQSQED.FanLeafed,0,1,0,
PQSQED.FanLeaved,0,1,0,
PQSQED.Filicinae,0,1,0,
PQSQED.Filicopsida,0,1,0,
PQSQED.FinalResult,0,1,0,
PQSQED.Fistulariidae,0,1,0,
PQSQED.Flattened,0,1,0,
PQSQED.Flighted,0,1,0,
PQSQED.Folks,0,1,0,
