=== DEPENDENCY CHAIN ANALYSIS WITH DEEP FREQUENCY METRICS ===
Folder: QRS_WRS_145603_classfiles_PQSQED\
Source files: 145602
Classes discovered: 145590

CLASS                                                          DEPTH       FREQUENCY            RANKSCORE    RANK   DIRECT
PQSQED.Filthily                                                 1646           38932        1646000038932   28226        5
PQSQED.Alborg                                                   1646           38919        1646000038919   28227        6
PQSQED.WetCell                                                  1646           38882        1646000038882   28228        6
PQSQED.Beldame                                                  1646           38865        1646000038865   28229        4
PQSQED.GlauciumFlavum                                           1646           38862        1646000038862   28230       10
PQSQED.Twayblade                                                1646           38862        1646000038862   28231       11
PQSQED.Cotyloid                                                 1646           38857        1646000038857   28232        4
PQSQED.Gallup                                                   1646           38795        1646000038795   28233        9
PQSQED.Milkshake                                                1646           38787        1646000038787   28234        9
PQSQED.TalkDown                                                 1646           38776        1646000038776   28235        6
PQSQED.FishKnife                                                1646           38769        1646000038769   28236        9
PQSQED.Schizaea                                                 1646           38741        1646000038741   28237       11
PQSQED.Kafocin                                                  1646           38737        1646000038737   28238        9
PQSQED.Nucleole                                                 1646           38712        1646000038712   28239       13
PQSQED.HornPoppy                                                1646           38703        1646000038703   28240       10
PQSQED.DayLily                                                  1646           38678        1646000038678   28241       11
PQSQED.Deltoid                                                  1646           38662        1646000038662   28242       13
PQSQED.Amytal                                                   1646           38649        1646000038649   28243        8
PQSQED.LumpSugar                                                1646           38639        1646000038639   28244        6
PQSQED.Hedgehog                                                 1646           38636        1646000038636   28245        5
PQSQED.Thalweg                                                  1646           38594        1646000038594   28246        9
PQSQED.NolPros_                                                 1646           38582        1646000038582   28247        7
PQSQED.CubShark                                                 1646           38570        1646000038570   28248       10
PQSQED.Seyhan                                                   1646           38562        1646000038562   28249        7
PQSQED.Gari                                                     1646           38551        1646000038551   28250       12
PQSQED.Alee                                                     1646           38526        1646000038526   28251        3
PQSQED.Cronyn                                                   1646           38504        1646000038504   28252        9
PQSQED.DailyDew                                                 1646           38449        1646000038449   28253       12
PQSQED.Sordid                                                   1646           38434        1646000038434   28254        4
PQSQED.Sheeprun                                                 1646           38429        1646000038429   28255        4
PQSQED.Dare                                                     1646           38414        1646000038414   28256        6
PQSQED.AxleBar                                                  1646           38359        1646000038359   28257        5
PQSQED.Poyang                                                   1646           38337        1646000038337   28258        9
PQSQED.SparkGap                                                 1646           38324        1646000038324   28259        8
PQSQED.Viagra                                                   1646           38319        1646000038319   28260        9
PQSQED.BillyHo                                                  1646           38294        1646000038294   28261        4
PQSQED.Oxbridge                                                 1646           38276        1646000038276   28262       10
PQSQED.IowaCrab                                                 1646           38262        1646000038262   28263        7
PQSQED.Joe_Clark                                                1646           38257        1646000038257   28264        6
PQSQED.WheelSpoke                                               1646           38254        1646000038254   28265        8
PQSQED.Wheal                                                    1646           38233        1646000038233   28266       10
PQSQED.Regosol                                                  1646           38213        1646000038213   28267        9
PQSQED.Archduchy                                                1646           38181        1646000038181   28268        7
PQSQED.Brith                                                    1646           38179        1646000038179   28269       10
PQSQED.DevilSMilk                                               1646           38162        1646000038162   28270       10
PQSQED.Pharynx                                                  1646           38151        1646000038151   28271       10
PQSQED.Crumhorn                                                 1646           38144        1646000038144   28272        6
PQSQED.Tungus                                                   1646           38142        1646000038142   28273       15
PQSQED.Launce                                                   1646           38135        1646000038135   28274        7
PQSQED.Cape_Cod                                                 1646           38123        1646000038123   28275        8
PQSQED.Medea                                                    1646           38121        1646000038121   28276       11
PQSQED.SpotPass                                                 1646           38108        1646000038108   28277       10
PQSQED.Reheel                                                   1646           38102        1646000038102   28278        5
PQSQED.Fascism                                                  1646           38093        1646000038093   28279       10
PQSQED.Bellhop                                                  1646           38081        1646000038081   28280        9
PQSQED.Copley                                                   1646           38066        1646000038066   28281       11
PQSQED.Dogwatch                                                 1646           38013        1646000038013   28282        4
PQSQED.Polyose                                                  1646           37963        1646000037963   28283        6
PQSQED.Slogan                                                   1646           37963        1646000037963   28284        7
PQSQED.Flitch                                                   1646           37953        1646000037953   28285        6
PQSQED.Horne                                                    1646           37939        1646000037939   28286        2
PQSQED.Cursory                                                  1646           37915        1646000037915   28287        4
PQSQED.SnotNosed                                                1646           37905        1646000037905   28288        5
PQSQED.Comfrey                                                  1646           37894        1646000037894   28289        7
PQSQED.Girl_Scouts                                              1646           37877        1646000037877   28290        8
PQSQED.Amish                                                    1646           37876        1646000037876   28291        5
PQSQED.OldGuard                                                 1646           37870        1646000037870   28292        5
PQSQED.Urban_VIII                                               1646           37869        1646000037869   28293        8
PQSQED.Elfin                                                    1646           37864        1646000037864   28294        7
PQSQED.Chill                                                    1646           37818        1646000037818   28295        3
PQSQED.Hamadryad                                                1646           37768        1646000037768   28296        6
PQSQED.Drouth                                                   1646           37736        1646000037736   28297        3
PQSQED.Huguenot                                                 1646           37719        1646000037719   28298        4
PQSQED.Saipan                                                   1646           37698        1646000037698   28299        9
PQSQED.Clambake                                                 1646           37688        1646000037688   28300       12
PQSQED.TopHat                                                   1646           37660        1646000037660   28301        9
PQSQED.RedHot                                                   1646           37658        1646000037658   28302        5
PQSQED.Blazon                                                   1646           37637        1646000037637   28303        3
PQSQED.Limekiln                                                 1646           37636        1646000037636   28304        8
PQSQED.Scraggly                                                 1646           37636        1646000037636   28305        4
PQSQED.Copepod                                                  1646           37619        1646000037619   28306       13
PQSQED.FalseRue                                                 1646           37591        1646000037591   28307       11
PQSQED.Cobalt                                                   1646           37568        1646000037568   28308       13
PQSQED.Premie                                                   1646           37562        1646000037562   28309        5
PQSQED.Tolmiea                                                  1646           37547        1646000037547   28310        3
PQSQED.Fulbright                                                1646           37507        1646000037507   28311        8
PQSQED.Codon                                                    1646           37461        1646000037461   28312       16
PQSQED.WildCrab                                                 1646           37453        1646000037453   28313        8
PQSQED.Tugela                                                   1646           37365        1646000037365   28314        8
PQSQED.Spirula                                                  1646           37359        1646000037359   28315       13
PQSQED.Ostrya                                                   1646           37333        1646000037333   28316       11
PQSQED.FurCoat                                                  1646           37318        1646000037318   28317        4
PQSQED.Cuisse                                                   1646           37302        1646000037302   28318        3
PQSQED.Affidavit                                                1646           37292        1646000037292   28319       16
PQSQED.Wale                                                     1646           37283        1646000037283   28320       10
PQSQED.Vizier                                                   1646           37273        1646000037273   28321        7
PQSQED.ShooflyPie                                               1646           37272        1646000037272   28322        7
PQSQED.Bugbear                                                  1646           37250        1646000037250   28323        5
PQSQED.Tippet                                                   1646           37239        1646000037239   28324       10
PQSQED.Nightjar                                                 1646           37230        1646000037230   28325       10
PQSQED.Hoyden                                                   1646           37204        1646000037204   28326        6
PQSQED.Buccal                                                   1646           37172        1646000037172   28327        2
PQSQED.Hunan                                                    1646           37171        1646000037171   28328       14
PQSQED.SlipRoad                                                 1646           37152        1646000037152   28329        6
PQSQED.Urban_VI                                                 1646           37116        1646000037116   28330       12
PQSQED.Al_Iraq                                                  1646           37109        1646000037109   28331       14
PQSQED.Douse                                                    1646           37080        1646000037080   28332        6
PQSQED.Apocrypha                                                1646           37031        1646000037031   28333       24
PQSQED.Gesso                                                    1646           37006        1646000037006   28334       14
PQSQED.Myxomycota                                               1646           36960        1646000036960   28335       14
PQSQED.Chiloe                                                   1646           36921        1646000036921   28336        8
PQSQED.Passado                                                  1646           36868        1646000036868   28337       13
PQSQED.Musculus                                                 1646           36865        1646000036865   28338        4
PQSQED.Shard                                                    1646           36860        1646000036860   28339        5
PQSQED.TrueDwarf                                                1646           36784        1646000036784   28340       15
PQSQED.Psyllium                                                 1646           36739        1646000036739   28341       12
PQSQED.Geophagy                                                 1646           36734        1646000036734   28342       10
PQSQED.FoxShark                                                 1646           36724        1646000036724   28343       14
PQSQED.Yuman                                                    1646           36668        1646000036668   28344        9
PQSQED.SpikeHeel                                                1646           36641        1646000036641   28345        7
PQSQED.RaffiaRuffia                                             1646           36608        1646000036608   28346       13
PQSQED.Samson                                                   1646           36592        1646000036592   28347       10
PQSQED.Cockscomb                                                1646           36586        1646000036586   28348        6
PQSQED.Piracy                                                   1646           36581        1646000036581   28349       17
PQSQED.Offend                                                   1646           36576        1646000036576   28350        4
PQSQED.Krummhorn                                                1646           36572        1646000036572   28351        6
PQSQED.Oatcake                                                  1646           36570        1646000036570   28352        6
PQSQED.BrashOak                                                 1646           36523        1646000036523   28353       15
PQSQED.CrownJewels                                              1646           36514        1646000036514   28354        9
PQSQED.Woodscrew                                                1646           36510        1646000036510   28355       11
PQSQED.Sluiceway                                                1646           36503        1646000036503   28356        8
PQSQED.Cnossus                                                  1646           36446        1646000036446   28357       10
PQSQED.Momotus                                                  1646           36444        1646000036444   28358        3
PQSQED.Sorbus                                                   1646           36436        1646000036436   28359        6
PQSQED.Boxers                                                   1646           36280        1646000036280   28360        4
PQSQED.Logan                                                    1646           36279        1646000036279   28361        9
PQSQED.NipaPalm                                                 1646           36277        1646000036277   28362       17
PQSQED.Scheldt                                                  1646           36268        1646000036268   28363        9
PQSQED.Hygrodeik                                                1646           36257        1646000036257   28364        5
PQSQED.MyrrhTree                                                1646           36238        1646000036238   28365        6
PQSQED.Carboy                                                   1646           36230        1646000036230   28366       10
PQSQED.BoloKnife                                                1646           36203        1646000036203   28367        5
PQSQED.WigTree                                                  1646           36167        1646000036167   28368        7
PQSQED.Kurosawa                                                 1646           36157        1646000036157   28369        7
PQSQED.Dachau                                                   1646           36136        1646000036136   28370        9
PQSQED.Scarp                                                    1646           36130        1646000036130   28371       12
PQSQED.Trilby                                                   1646           36126        1646000036126   28372       11
PQSQED.Pollywog                                                 1646           36120        1646000036120   28373        5
PQSQED.Slivovitz                                                1646           36092        1646000036092   28374        7
PQSQED.Ypres                                                    1646           36087        1646000036087   28375       15
PQSQED.WormSnake                                                1646           36054        1646000036054   28376        5
PQSQED.Grunge                                                   1646           36038        1646000036038   28377        5
PQSQED.Wolfram                                                  1646           36008        1646000036008   28378       14
PQSQED.Porphyry                                                 1646           35994        1646000035994   28379        8
PQSQED.Bounty                                                   1646           35990        1646000035990   28380       13
PQSQED.Bigram                                                   1646           35983        1646000035983   28381       10
PQSQED.Ketose                                                   1646           35983        1646000035983   28382        8
PQSQED.Naivety                                                  1646           35892        1646000035892   28383        4
PQSQED.Louvar                                                   1646           35833        1646000035833   28384       13
PQSQED.Twinkly                                                  1646           35828        1646000035828   28385        5
PQSQED.WoodPussy                                                1646           35828        1646000035828   28386       15
PQSQED.ThighBoot                                                1646           35805        1646000035805   28387        6
PQSQED.Bonduc                                                   1646           35800        1646000035800   28388       17
PQSQED.PepPill                                                  1646           35798        1646000035798   28389       11
PQSQED.Monod                                                    1646           35781        1646000035781   28390        8
PQSQED.Shmaltz                                                  1646           35769        1646000035769   28391        6
PQSQED.KissCurl                                                 1646           35768        1646000035768   28392        8
PQSQED.Fortaz                                                   1646           35727        1646000035727   28393        7
PQSQED.FurbishUp                                                1646           35725        1646000035725   28394       10
PQSQED.Skimcoat                                                 1646           35703        1646000035703   28395        5
PQSQED.Ridgil                                                   1646           35691        1646000035691   28396        3
PQSQED.Bullshot                                                 1646           35674        1646000035674   28397        8
PQSQED.ChoirLoft                                                1646           35670        1646000035670   28398        7
PQSQED.Bulbous                                                  1646           35661        1646000035661   28399        4
PQSQED.Cocytus                                                  1646           35652        1646000035652   28400        8
PQSQED.Blewits                                                  1646           35645        1646000035645   28401        8
PQSQED.Usuli                                                    1646           35645        1646000035645   28402       11
PQSQED.Shipworm                                                 1646           35643        1646000035643   28403        6
PQSQED.DeL_Orme                                                 1646           35617        1646000035617   28404       11
PQSQED.Bract                                                    1646           35563        1646000035563   28405       11
PQSQED.Ladyship                                                 1646           35552        1646000035552   28406        8
PQSQED.Salzburg                                                 1646           35444        1646000035444   28407        8
PQSQED.WildWilkworm                                             1646           35441        1646000035441   28408        9
PQSQED.Hagfish                                                  1646           35439        1646000035439   28409       17
PQSQED.Quebec_City                                              1646           35434        1646000035434   28410        7
PQSQED.FlySheet                                                 1646           35406        1646000035406   28411       11
PQSQED.Sabayon                                                  1646           35386        1646000035386   28412        5
PQSQED.Aigret                                                   1646           35342        1646000035342   28413       12
PQSQED.Bobfloat                                                 1646           35299        1646000035299   28414        7
PQSQED.SeaPoose                                                 1646           35293        1646000035293   28415        7
PQSQED.Skittle                                                  1646           35284        1646000035284   28416        2
PQSQED.Parsi                                                    1646           35264        1646000035264   28417       10
PQSQED.Nylons                                                   1646           35194        1646000035194   28418        6
PQSQED.Ravel                                                    1646           35181        1646000035181   28419        1
PQSQED.Mashhad                                                  1646           35169        1646000035169   28420        7
PQSQED.Affable                                                  1646           35155        1646000035155   28421        3
PQSQED.Argus                                                    1646           35120        1646000035120   28422        8
PQSQED.Croat                                                    1646           35109        1646000035109   28423        7
PQSQED.Karlfeldt                                                1646           35071        1646000035071   28424        6
PQSQED.Anne                                                     1646           35070        1646000035070   28425       16
PQSQED.Shank                                                    1646           35068        1646000035068   28426       10
PQSQED.Lysosome                                                 1646           35062        1646000035062   28427        8
PQSQED.Borax                                                    1646           35053        1646000035053   28428       12
PQSQED.FlushIt                                                  1646           35026        1646000035026   28429        5
PQSQED.Glowworm                                                 1646           35004        1646000035004   28430        7
PQSQED.RedFire                                                  1646           35003        1646000035003   28431        8
PQSQED.Lotte                                                    1646           34949        1646000034949   28432        6
PQSQED.Havasupai                                                1646           34936        1646000034936   28433       10
PQSQED.Butat                                                    1646           34889        1646000034889   28434        4
PQSQED.Catsup                                                   1646           34864        1646000034864   28435        4
PQSQED.Tide                                                     1646           34859        1646000034859   28436        5
PQSQED.Scarf                                                    1646           34854        1646000034854   28437        3
PQSQED.SeaSquirt                                                1646           34854        1646000034854   28438        6
PQSQED.Cyclic                                                   1646           34827        1646000034827   28439        3
PQSQED.DogFlea                                                  1646           34798        1646000034798   28440        1
PQSQED.Augite                                                   1646           34767        1646000034767   28441        9
PQSQED.Applet                                                   1646           34746        1646000034746   28442       10
PQSQED.DropOut                                                  1646           34741        1646000034741   28443        6
PQSQED.Socage                                                   1646           34719        1646000034719   28444       10
PQSQED.Opossum                                                  1646           34710        1646000034710   28445        7
PQSQED.Sens                                                     1646           34677        1646000034677   28446        3
PQSQED.Arak                                                     1646           34654        1646000034654   28447        7
PQSQED.Cirio                                                    1646           34639        1646000034639   28448        9
PQSQED.Catboat                                                  1646           34634        1646000034634   28449        6
PQSQED.Quiddity                                                 1646           34632        1646000034632   28450        8
PQSQED.PotFarm                                                  1646           34616        1646000034616   28451        8
PQSQED.Glucose                                                  1646           34605        1646000034605   28452        9
PQSQED.Ankus                                                    1646           34567        1646000034567   28453        7
PQSQED.EasyLay                                                  1646           34546        1646000034546   28454        3
PQSQED.Bellpull                                                 1646           34544        1646000034544   28455        7
PQSQED.Catgut                                                   1646           34498        1646000034498   28456       10
PQSQED.Ashkhabad                                                1646           34494        1646000034494   28457        3
PQSQED.Salyut                                                   1646           34485        1646000034485   28458        6
PQSQED.BubbleGum                                                1646           34482        1646000034482   28459        7
PQSQED.RIRA                                                     1646           34417        1646000034417   28460       15
PQSQED.Rappee                                                   1646           34404        1646000034404   28461        6
PQSQED.Disavow                                                  1646           34375        1646000034375   28462        7
PQSQED.Gris                                                     1646           34330        1646000034330   28463        3
PQSQED.Pappose                                                  1646           34319        1646000034319   28464        5
PQSQED.Mary_II                                                  1646           34289        1646000034289   28465       11
PQSQED.Osasco                                                   1646           34263        1646000034263   28466        5
PQSQED.Oruvail                                                  1646           34249        1646000034249   28467        6
PQSQED.Cockfight                                                1646           34214        1646000034214   28468        8
PQSQED.TrumpOut                                                 1646           34202        1646000034202   28469        6
PQSQED.Muscovy                                                  1646           34172        1646000034172   28470        6
PQSQED.WildLeek                                                 1646           34170        1646000034170   28471        7
PQSQED.AquaVitae                                                1646           34153        1646000034153   28472        4
PQSQED.Mink                                                     1646           34150        1646000034150   28473        3
PQSQED.Octopod                                                  1646           34139        1646000034139   28474        9
PQSQED.RedHaw                                                   1646           34122        1646000034122   28475        3
PQSQED.Jambon                                                   1646           34079        1646000034079   28476        5
PQSQED.Flats                                                    1646           34030        1646000034030   28477        7
PQSQED.OLED                                                     1646           33992        1646000033992   28478       10
PQSQED.Bris                                                     1646           33984        1646000033984   28479       10
PQSQED.HotWire                                                  1646           33968        1646000033968   28480        7
PQSQED.Hinny                                                    1646           33955        1646000033955   28481       10
PQSQED.Tom_Thumb                                                1646           33952        1646000033952   28482        8
PQSQED.Tapis                                                    1646           33949        1646000033949   28483        6
PQSQED.Gand                                                     1646           33940        1646000033940   28484        9
PQSQED.Fatah_RC                                                 1646           33923        1646000033923   28485        8
PQSQED.Corymb                                                   1646           33870        1646000033870   28486       17
PQSQED.PipeClay                                                 1646           33867        1646000033867   28487        3
PQSQED.Maghreb                                                  1646           33839        1646000033839   28488        7
PQSQED.John_Reed                                                1646           33809        1646000033809   28489       16
PQSQED.Stogie                                                   1646           33774        1646000033774   28490        3
PQSQED.Czerny                                                   1646           33763        1646000033763   28491       11
PQSQED.Propjet                                                  1646           33763        1646000033763   28492        9
PQSQED.Grappa                                                   1646           33760        1646000033760   28493        6
PQSQED.Mann                                                     1646           33758        1646000033758   28494        8
PQSQED.Falsie                                                   1646           33756        1646000033756   28495        5
PQSQED.SkiRack                                                  1646           33731        1646000033731   28496        6
PQSQED.Axone                                                    1646           33712        1646000033712   28497        6
PQSQED.Wrymouth                                                 1646           33613        1646000033613   28498        8
PQSQED.Sambre                                                   1646           33611        1646000033611   28499       14
PQSQED.Boy_Scouts                                               1646           33597        1646000033597   28500        9
PQSQED.Sable                                                    1646           33574        1646000033574   28501        5
PQSQED.NightLight                                               1646           33560        1646000033560   28502       10
PQSQED.Hooknose                                                 1646           33553        1646000033553   28503        6
PQSQED.SashWeight                                               1646           33552        1646000033552   28504        4
PQSQED.Aarhus                                                   1646           33508        1646000033508   28505        6
PQSQED.Museum                                                   1646           33486        1646000033486   28506        8
PQSQED.Boswell                                                  1646           33482        1646000033482   28507        6
PQSQED.Triga                                                    1646           33407        1646000033407   28508        3
PQSQED.Lutra                                                    1646           33393        1646000033393   28509        7
PQSQED.Uncle_Joe                                                1646           33376        1646000033376   28510       11
PQSQED.Arhus                                                    1646           33337        1646000033337   28511        6
PQSQED.Urban_V                                                  1646           33333        1646000033333   28512       15
PQSQED.Yarmulke                                                 1646           33312        1646000033312   28513        6
PQSQED.Addict                                                   1646           33306        1646000033306   28514        7
PQSQED.Falls                                                    1646           33306        1646000033306   28515        8
PQSQED.Billyoh                                                  1646           33294        1646000033294   28516        4
PQSQED.Hamas                                                    1646           33289        1646000033289   28517       24
PQSQED.Koala                                                    1646           33277        1646000033277   28518       10
PQSQED.David_Grun                                               1646           33263        1646000033263   28519       15
PQSQED.Kerb                                                     1646           33263        1646000033263   28520        8
PQSQED.FreeReed                                                 1646           33252        1646000033252   28521        7
PQSQED.BloodKnot                                                1646           33249        1646000033249   28522       15
PQSQED.PunchDrunk                                               1646           33216        1646000033216   28523        4
PQSQED.Kongfuze                                                 1646           33206        1646000033206   28524       11
PQSQED.SeaPoppy                                                 1646           33163        1646000033163   28525       10
PQSQED.PinOak                                                   1646           33141        1646000033141   28526       17
PQSQED.Porch                                                    1646           33123        1646000033123   28527        8
PQSQED.SickJoke                                                 1646           33118        1646000033118   28528        5
PQSQED.Pesewa                                                   1646           33113        1646000033113   28529        4
PQSQED.TubaRoot                                                 1646           33106        1646000033106   28530        9
PQSQED.Irrawaddy                                                1646           33081        1646000033081   28531       13
PQSQED.Eijkman                                                  1646           33057        1646000033057   28532        9
PQSQED.Neon                                                     1646           33046        1646000033046   28533       15
PQSQED.Vasomax                                                  1646           33006        1646000033006   28534        9
PQSQED.Lobito                                                   1646           32991        1646000032991   28535        6
PQSQED.Filago                                                   1646           32972        1646000032972   28536        7
PQSQED.Brome                                                    1646           32960        1646000032960   28537        7
PQSQED.Creaky                                                   1646           32941        1646000032941   28538        6
PQSQED.Aalst                                                    1646           32933        1646000032933   28539        5
PQSQED.Fusil                                                    1646           32918        1646000032918   28540        4
PQSQED.Orumiyeh                                                 1646           32914        1646000032914   28541       10
PQSQED.C__K__Ogden                                              1646           32900        1646000032900   28542        7
PQSQED.Ogden                                                    1646           32900        1646000032900   28543        7
PQSQED.VicugnaVicugna                                           1646           32880        1646000032880   28544       10
PQSQED.Burble                                                   1646           32867        1646000032867   28545        8
PQSQED.Atopy                                                    1646           32780        1646000032780   28546       12
PQSQED.Kongo                                                    1646           32769        1646000032769   28547       10
PQSQED.Pommel                                                   1646           32713        1646000032713   28548        2
PQSQED.Diapir                                                   1646           32695        1646000032695   28549       12
PQSQED.Billyo                                                   1646           32688        1646000032688   28550        4
PQSQED.Apneic                                                   1646           32573        1646000032573   28551        2
PQSQED.FarmGirl                                                 1646           32525        1646000032525   28552        7
PQSQED.QuaiD_Orsay                                              1646           32512        1646000032512   28553        9
PQSQED.Sess                                                     1646           32481        1646000032481   28554        3
PQSQED.Haunch                                                   1646           32473        1646000032473   28555        6
PQSQED.CockSEggs                                                1646           32459        1646000032459   28556        9
PQSQED.Outback                                                  1646           32456        1646000032456   28557        4
PQSQED.Splotch                                                  1646           32411        1646000032411   28558        3
PQSQED.JohnOf_Gaunt                                             1646           32410        1646000032410   28559       13
PQSQED.PigFarm                                                  1646           32382        1646000032382   28560        6
PQSQED.Powell                                                   1646           32349        1646000032349   28561       16
PQSQED.Seafood                                                  1646           32277        1646000032277   28562        6
PQSQED.Kino                                                     1646           32270        1646000032270   28563       10
PQSQED.SeaPurse                                                 1646           32257        1646000032257   28564        7
PQSQED.Foglamp                                                  1646           32246        1646000032246   28565        7
PQSQED.SwanSDown                                                1646           32244        1646000032244   28566        7
PQSQED.Savoyard                                                 1646           32211        1646000032211   28567        6
PQSQED.Eelpout                                                  1646           32187        1646000032187   28568        4
PQSQED.Hualpai                                                  1646           32186        1646000032186   28569       12
PQSQED.FreezeDry                                                1646           32150        1646000032150   28570        8
PQSQED.Laius                                                    1646           32141        1646000032141   28571        7
PQSQED.Bulblike                                                 1646           32131        1646000032131   28572        4
PQSQED.Clovis                                                   1646           32130        1646000032130   28573       12
PQSQED.Clovis_I                                                 1646           32130        1646000032130   28574       12
PQSQED.KnockKnee                                                1646           32126        1646000032126   28575        4
PQSQED.Wulfila                                                  1646           32101        1646000032101   28576       15
PQSQED.Cognac                                                   1646           32077        1646000032077   28577        7
PQSQED.Ku_Kluxer                                                1646           32062        1646000032062   28578        3
PQSQED.Ulfila                                                   1646           32059        1646000032059   28579       15
PQSQED.Woodcraft                                                1646           32033        1646000032033   28580        7
PQSQED.Nammad                                                   1646           32031        1646000032031   28581        7
PQSQED.Phase_III                                                1646           31988        1646000031988   28582       24
PQSQED.PlugIn                                                   1646           31969        1646000031969   28583        4
PQSQED.Salmi                                                    1646           31945        1646000031945   28584        6
PQSQED.Phase_II                                                 1646           31925        1646000031925   28585       17
PQSQED.Bourse                                                   1646           31913        1646000031913   28586        4
PQSQED.Troop                                                    1646           31878        1646000031878   28587        4
PQSQED.Sikhism                                                  1646           31866        1646000031866   28588       14
